item;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;77120.0;25230.0;5990.0;4150.0;750.0;4540.0;13050.0;4930.0;1750.0;1590.0;2920.0;7930.0;11000.0;4030.0;4190.0;2810.0;7590.0;11200.0;7710.0;13041.0;6123.0;5689.0;29251.0;99869.1;89260.0;48488.0;10146.0;37577.9;36926.1;90062.6
Apples;1787000.0;1623400.0;1142300.0;1200000.0;1800000.0;1500000.0;1330000.0;1060000.0;1832000.0;1640000.0;1950000.0;1700000.0;2026000.0;1786000.0;1626000.0;2342000.0;1122400.0;1441200.0;992000.0;1198000.0;1403000.0;1573000.0;1624000.0;1612700.0;1701100.0;1493600.0;1859400.0;1950800.0;2040700.0;2216200.0
Apricots;55500.0;55200.0;41900.0;40000.0;70000.0;57000.0;38000.0;50000.0;67000.0;50000.0;60740.0;75230.0;80100.0;72000.0;39000.0;78000.0;57500.0;60000.0;51000.0;60000.0;57000.0;62000.0;62000.0;60000.0;60700.0;53300.0;66300.0;69600.0;72800.0;79100.0
Barley;26988750.0;26843080.0;27054390.0;15786300.0;15913059.0;20752192.0;9764918.0;10576009.0;14038791.0;19477550.0;18678410.0;17926418.0;17087555.0;15683785.0;18036511.0;15559075.0;23148450.0;17880760.0;8350022.5;16938002.4;13951676.0;15388704.0;20444257.7;17546155.4;17967161.0;20628955.0;16991907.0;20489088.0;20938993.2;17995907.6
Beans, dry;6560.0;6310.0;5030.0;4000.0;5548.0;5178.0;4731.0;5538.0;5730.0;6310.0;5570.0;9705.0;10990.0;10770.0;10905.0;9538.0;6076.0;7234.0;5985.0;6725.0;6804.0;7062.0;7078.1;7173.6;7030.0;4368.0;5432.0;5715.0;6285.7;7008.1
Beer of barley, malted;2790000.0;2470000.0;2180000.0;2140000.0;2080000.0;2610000.0;3360000.0;4450000.0;5160000.0;6380000.0;7003000.0;7554040.0;8378690.0;9098570.0;10005140.0;11472150.0;11396860.0;10910610.0;9834190.0;9935920.0;9740000.0;8900000.0;8228600.0;7798390.0;7827370.0;7560400.0;7770840.0;7692420.0;7945140.0;4000.0
Blueberries;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2000.0;2500.0;2800.0;2500.0;2500.0;2600.0;2000.0;2000.0;1900.0;2500.0;2400.0;2500.0;2500.0;2400.0;3000.0;2700.0;3300.0;3500.0;3600.0;7466.3
Broad beans and horse beans, dry;2800.0;6700.0;4020.0;10880.0;16498.0;20587.0;17404.0;18854.0;24460.0;20370.0;7640.0;25760.0;40860.0;33410.0;37650.0;18490.0;26919.0;22514.0;15262.0;17445.0;9260.0;7562.0;9140.2;9025.9;7043.0;7419.1;7600.0;8043.8;8433.2;333.55
Broad beans and horse beans, green;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0;300.0;500.0;350.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;400.0;400.0;300.0;300.0;300.0;331.24;375.12;348.16;332.37;333.34;919147.4
Buckwheat;1037620.0;805902.0;781487.0;596970.0;482298.0;627694.0;464586.0;578248.0;996943.0;573981.0;302037.0;524660.0;648726.0;604773.0;865243.0;1004433.0;924110.0;564037.7;339293.0;800375.0;796551.0;833936.0;661764.4;861235.9;1187267.0;1524879.0;931713.0;785702.0;892160.2;2352800.0
Cabbages;2850000.0;2800000.0;2309800.0;2291250.0;2872890.0;2999429.0;2734408.0;3541501.0;3010592.0;3167578.0;2852558.0;3390274.0;2935355.0;2822890.0;2744348.0;2661736.0;3169940.0;3312090.0;2732510.0;3527620.0;3309316.0;3328876.0;3493635.0;3603985.4;2724070.0;2687090.0;2495839.0;2623271.0;2629614.7;1303288.0
Carrots and turnips;1313000.0;1270000.0;991800.0;1182070.0;1292010.0;1410679.0;1127222.0;1223905.0;1387262.0;1312263.0;1189708.0;1354082.0;1319360.0;1287432.0;1355969.0;1346979.0;1530170.0;1518646.6;1303298.7;1735025.8;1565032.0;1604656.0;1662098.2;1781235.3;1450754.0;1438420.0;1408348.0;1558712.0;1368575.8;105.87
Castor oil seeds;6120.0;5550.0;1510.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;500.0;472.56;820.0;772.0;329.0;640.0;350.0;286.0;230.0;484.0;0.0;0.0;0.0;32.0;111.65;81.0;319.3;7.7;22311.9
